word,frequency
,7027
IT,3
WAS,4
the,6634
best,32
of,3623
"times,",17
it,1104
was,1558
worst,13
"the
",729
age,5
"wisdom,",2
"foolishness,",1
epoch,2
"of
",321
"belief,",2
"incredulity,",1
season,5
"Light,
",1
"Darkness,",1
spring,3
"hope,",5
winter,8
"despair,",2
we,102
had,1177
everything,16
before,170
"us,",29
"nothing
",9
were,577
all,410
going,71
direct,5
to,3145
"Heaven,",10
"going
",3
other,128
way-,8
in,2212
"short,",15
period,2
so,374
far,65
like,175
"present
",7
"period,",2
that,1568
some,181
its,197
noisiest,1
authorities,2
insisted,2
on,754
"being
",8
"received,",1
for,811
good,122
or,324
"evil,",3
superlative,1
degree,8
comparison,3
"only.
",1
There,90
a,2561
king,4
with,1163
large,27
jaw,2
and,4318
queen,2
plain,12
"face,",42
"on
",57
throne,3
England;,2
there,265
"a
",231
fair,16
France.,6
In,88
both,65
"countries
",2
clearer,1
than,193
crystal,1
lords,5
State,5
preserves,1
loaves,1
"fishes,",1
things,40
general,23
settled,5
"ever.
",5
It,219
year,18
Our,7
Lord,12
one,311
thousand,20
seven,19
hundred,33
"and
",409
seventy-five.,2
Spiritual,1
revelations,1
conceded,1
England,9
at,897
"that
",102
favoured,5
as,966
this.,10
Mrs.,17
Southcott,1
recently,2
"attained
",1
her,747
five-and-twentieth,1
blessed,7
"birthday,",2
whom,60
prophetic,1
"private
",1
Life,5
Guards,3
heralded,1
sublime,2
appearance,22
by,490
"announcing
",1
arrangements,6
made,161
swallowing,3
up,230
London,9
Westminster.,1
Even,12
Cock-lane,2
ghost,10
been,380
laid,51
only,102
round,51
"dozen
",2
"years,",16
after,99
rapping,1
out,313
"messages,",1
spirits,5
"this
",41
very,194
last,95
past,15
(supernaturally,1
deficient,1
originality),1
"rapped
",1
theirs.,1
Mere,1
messages,2
earthly,5
order,15
events,6
"lately
",1
come,109
English,27
Crown,1
"People,",1
from,452
congress,1
"British
",2
subjects,1
America:,1
"which,",12
strange,20
"relate,",1
have,651
proved,2
"more
",20
important,4
human,21
race,5
any,194
communications,3
yet,62
"received
",1
through,139
chickens,1
"brood.
",1
"France,",13
less,29
whole,32
matters,3
spiritual,1
"than
",21
sister,10
shield,1
"trident,",1
rolled,11
exceeding,1
"smoothness
",1
down,158
"hill,",12
making,30
paper,26
money,11
spending,1
it.,107
Under,6
guidance,3
Christian,6
"pastors,",1
she,304
entertained,1
"herself,",10
"besides,",2
"such
",10
humane,1
achievements,1
sentencing,1
youth,5
his,1754
hands,71
cut,9
"off,
",3
tongue,3
torn,6
"pincers,",1
body,14
burned,1
"alive,",4
"because
",6
he,1285
not,693
kneeled,5
rain,10
do,196
honour,21
dirty,6
"procession
",1
monks,1
which,356
passed,51
within,48
"view,",4
distance,8
"fifty
",2
sixty,3
yards.,1
is,658
likely,12
enough,44
"that,",57
rooted,2
woods,1
France,25
"Norway,",1
growing,10
"trees,",4
when,339
sufferer,4
"was
",116
put,100
"death,",8
already,33
marked,5
"Woodman,",1
"Fate,",1
"be
",66
sawn,1
into,290
"boards,",1
make,67
certain,26
movable,1
framework,1
"sack
",1
knife,6
"it,",213
terrible,12
history.,1
"in
",186
rough,11
outhouses,1
tillers,1
heavy,30
lands,1
adjacent,4
"to
",253
"Paris,",20
sheltered,1
weather,3
"day,",60
"rude
",1
"carts,",3
bespattered,1
rustic,4
"mire,",1
snuffed,1
about,128
"pigs,",1
roosted,1
"poultry,",1
"Farmer,",2
"Death,",4
"set
",4
apart,8
be,623
tumbrils,9
Revolution.,1
But,63
Woodman,2
though,75
they,412
work,38
"unceasingly,",1
silently,9
no,380
"one
",21
heard,47
them,208
went,93
muffled,4
tread:,1
"rather,
",1
forasmuch,2
entertain,2
suspicion,9
"awake,",4
atheistical,1
"traitorous.
",1
"England,",7
scarcely,16
an,301
amount,1
"protection
",1
justify,3
much,135
national,8
boasting.,1
Daring,1
burglaries,1
armed,7
"men,",18
highway,3
"robberies,",1
took,103
place,61
capital,2
itself,29
every,93
"night;
",1
families,1
publicly,2
cautioned,1
go,97
town,8
"without
",11
removing,2
their,275
furniture,1
upholsterers',1
warehouses,1
security;,1
highwayman,1
dark,59
City,3
tradesman,3
"light,",12
"and,",51
recognised,4
challenged,1
fellow-tradesman,1
stopped,44
character,10
"""the",12
"Captain,""",1
gallantly,1
shot,9
him,481
"head
",8
rode,7
away;,6
mail,11
waylaid,1
"robbers,",1
"guard
",3
three,75
"dead,",11
then,101
got,73
dead,23
himself,143
"four,",3
"""in
",1
consequence,2
failure,2
"ammunition:""",1
"mail
",1
robbed,3
peace;,1
magnificent,1
"potentate,",1
Mayor,1
"London,",11
stand,14
deliver,7
Turnham,1
"Green,",1
"highwayman,",1
who,312
despoiled,1
illustrious,2
creature,17
sight,23
"his
",164
retinue;,1
prisoners,12
gaols,1
fought,2
battles,1
"their
",37
"turkeys,",1
majesty,2
law,10
fired,5
blunderbusses,1
among,91
"them,
",4
loaded,6
rounds,2
ball;,1
thieves,1
snipped,1
off,55
"diamond
",1
crosses,1
necks,1
noble,11
Court,8
"drawing-rooms;
",1
musketeers,2
St.,7
"Giles's,",1
search,6
contraband,2
"goods,
",1
mob,1
"musketeers,",1
fir,1
"mob,",3
nobody,10
thought,45
these,134
occurrences,1
common,16
way.,18
midst,14
"them,",86
"hangman,",2
ever,84
busy,5
"ever
",5
worse,9
"useless,",2
constant,1
requisition;,1
"now,",48
stringing,1
"up
",13
long,137
rows,1
miscellaneous,1
criminals;,1
hanging,11
housebreaker,1
Saturday,2
taken,66
Tuesday;,1
burning,8
people,88
hand,124
Newgate,2
"dozen,",1
now,93
pamphlets,1
door,56
Westminster,1
Hall;,1
"to-day,",8
taking,38
life,62
atrocious,1
"murderer,
",1
to-morrow,8
wretched,11
pilferer,1
farmer's,2
"boy
",3
"sixpence.
",1
All,32
"things,",14
came,118
pass,22
close,40
upon,259
dear,77
old,125
Environed,1
while,67
"Farmer
",1
worked,16
"unheeded,",1
those,94
two,145
"jaws,",1
"faces,",11
trod,5
stir,4
"enough,",13
carried,42
divine,2
rights,1
high,33
hand.,15
Thus,9
did,121
"seven
",2
seventy-five,1
conduct,3
"Greatnesses,",1
myriads,1
small,32
creatures-,2
creatures,4
this,390
chronicle,1
rest-,1
"along
",3
roads,23
lay,58
"them.
",25
"II
",3
THE,40
"MAIL
",1
"
",58
Dover,11
road,19
"lay,",2
Friday,4
night,75
late,15
"November,",2
first,78
persons,5
history,7
"has
",13
business.,14
The,489
"him,",204
beyond,23
"mail,",6
"as
",62
lumbered,2
Shooter's,3
Hill.,1
He,350
walked,40
hill,10
mire,1
side,39
rest,18
passengers,12
did;,1
least,14
relish,2
walking,17
"exercise,",2
under,122
"circumstances,",4
but,367
because,28
"harness,",1
"mud,",6
"heavy,",5
horses,21
times,25
"already
",4
"stop,",1
besides,9
once,52
drawing,17
coach,20
across,32
"road,",11
"with
",82
mutinous,1
intent,14
back,84
Blackheath.,1
Reins,1
"whip
",1
coachman,4
"guard,",10
"however,",16
"combination,",1
read,21
"article
",1
war,1
forbade,2
purpose,6
otherwise,12
strongly,9
favour,14
"argument,",1
brute,2
animals,1
are,271
endued,1
Reason;,1
"team
",1
capitulated,1
returned,70
"duty.
",1
With,33
drooping,4
heads,26
tremulous,2
"tails,",1
mashed,1
"way
",5
thick,4
floundering,1
stumbling,1
between,59
"whiles,",2
"if
",24
falling,6
pieces,9
larger,3
joints.,1
As,94
often,29
driver,3
rested,10
brought,76
"stand,",2
wary,2
"""Wo-ho!
",1
"so-ho-then!""",1
near,37
leader,4
violently,4
shook,27
head,110
"everything
",3
it-,15
unusually,2
emphatic,4
"horse,",5
denying,1
"coach
",3
could,241
hill.,4
Whenever,1
"rattle,",2
passenger,15
"started,",4
nervous,2
"might,",6
"disturbed
",1
"mind.
",6
steaming,1
mist,12
"hollows,",1
roamed,1
forlornness,1
evil,4
"spirit,",6
seeking,3
finding,3
none.,8
A,99
clammy,1
intensely,3
cold,20
"mist,",3
slow,7
air,33
ripples,1
visibly,2
followed,25
overspread,1
"another,",16
waves,4
unwholesome,3
sea,15
might,125
do.,5
"dense
",1
shut,16
light,64
coach-lamps,1
"but
",22
own,114
"workings,",1
few,70
yards,3
road;,1
reek,1
labouring,2
steamed,2
if,307
"all.
",4
Two,11
"passengers,",4
"one,",20
plodding,2
"hill
",1
mail.,2
wrapped,6
"cheekbones
",1
over,145
"cars,",1
wore,18
jack-boots.,1
Not,26
"could
",19
"said,",57
anything,41
"saw,",5
what,219
either,22
like;,2
each,23
hidden,10
almost,35
many,114
wrappers,1
eyes,110
"mind,",30
"body,",4
"companions.
",2
"days,",14
travellers,2
shy,1
being,122
confidential,3
short,20
"notice,",4
anybody,7
robber,1
"league
",1
robbers.,1
"latter,",3
posting-house,3
"ale-house
",1
produce,4
somebody,11
"Captain's""",1
"pay,",2
ranging,1
landlord,1
lowest,3
stable,2
"nondescript,",1
"likeliest
",1
thing,30
cards.,1
So,27
guard,18
"himself,",35
"seventy-five,",2
lumbering,6
"Hill,",1
stood,77
"own
",19
particular,10
perch,1
behind,44
beating,8
"feet,",9
keeping,8
"eye
",7
arm-chest,1
where,123
blunderbuss,2
"lay
",5
top,14
six,11
eight,13
"horse-pistols,",1
deposited,1
substratum,1
"cutlass.
",1
usual,38
genial,1
position,5
suspected,7
another,86
everybody,8
"else,",4
sure,25
nothing,92
horses;,2
cattle,1
"clear
",2
conscience,2
oath,2
Testaments,1
"were
",55
fit,8
"journey.
",1
"""Wo-ho!""",1
said,557
coachman.,1
"""So,",2
then!,6
One,25
more,187
pull,6
you're,7
"at
",66
damned,1
"you,",121
I,1374
trouble,11
get,52
"you
",46
it!-,1
"Joe!""
",1
"""Halloa!""",2
"replied.
",1
"""What",65
o'clock,9
you,812
"Joe?""
",1
"""Ten",3
"minutes,",8
"good,",11
"eleven.""
",1
"""My",37
"blood!""",1
ejaculated,1
vexed,2
"coachman,",3
"""and",38
atop,1
yet!,1
Tst!,4
Yah!,2
Get,3
"you!""
",10
whip,1
most,58
"decided
",1
"negative,",1
decided,4
scramble,1
"horses
",2
suit.,1
Once,5
"more,",16
struggled,5
"on,",37
jack-boots,1
squashing,1
along,28
side.,7
They,87
"had
",92
"stopped,",6
kept,34
company,10
"it.
",39
If,63
hardihood,1
propose,3
walk,9
little,226
ahead,1
"darkness,",10
would,307
"put
",7
way,91
getting,16
instantly,3
"highwayman.
",1
burst,7
summit,3
"The
",41
breathe,3
"again,",76
skid,1
wheel,1
"descent,",3
open,31
coach-door,3
let,58
"passengers
",1
"in.
",7
"""Tst!",1
"Joe!""",1
cried,41
warning,2
"voice,",32
looking,105
"from
",39
"box.
",1
"say,",33
"Tom?""
",2
"listened.
",1
"""I",399
say,90
horse,15
canter,1
coming,38
"up,",40
"Joe.""
",4
"gallop,",2
"Tom,""",1
leaving,12
hold,36
"door,",33
mounting,1
nimbly,2
place.,9
"""Gentlemen!",1
king's,3
"name,",14
hurried,15
"adjuration,",1
cocked,2
"blunderbuss,",2
"stood
",5
"offensive.
",2
booked,2
"history,",2
"coach-step,",1
"getting
",2
in;,4
follow.,3
remained,19
"step,",5
half,50
"of;
",1
below,3
him.,79
looked,172
"coachman
",1
listened.,1
"back,",28
even,105
pricked,2
ears,8
"contradicting.
",1
stillness,5
consequent,2
cessation,2
rumbling,1
"coach,",11
added,18
"night,",58
"it
",70
quiet,24
indeed.,3
panting,1
communicated,5
motion,3
state,34
agitation.,2
hearts,6
beat,9
loud,12
perhaps,24
heard;,1
"rate,",1
pause,8
audibly,1
expressive,5
"breath,",7
holding,9
having,57
"pulses
",1
quickened,2
"expectation.
",1
sound,31
gallop,3
fast,16
furiously,1
"hill.
",4
"""So-ho!""",1
sang,2
"out,",54
roar.,2
"""Yo",1
"there!
",1
Stand!,1
shall,82
"fire!""
",1
pace,1
suddenly,18
"checked,",1
splashing,2
"floundering,",1
man's,14
voice,31
called,45
"""Is",29
"Dover
",1
"mail?""
",4
"""Never",5
mind,53
"is!""",2
retorted.,1
"you?""
",16
"""Why",10
want,24
"know?""
",2
"passenger,",7
"is.""
",13
"passenger?""
",1
"""Mr.",14
Jarvis,19
"Lorry.""
",6
showed,23
moment,27
name.,13
eyed,2
"him
",45
"distrustfully.
",1
"""Keep",4
"are,""",2
"mist,
",1
"""because,",1
should,127
"mistake,",3
never,160
set,41
right,29
your,283
lifetime.,1
Gentleman,1
name,51
Lorry,150
answer,26
"straight.""
",2
"matter?""",2
asked,63
"then,",49
"mildly
",1
quavering,1
speech.,2
"""Who",10
wants,2
me?,5
Is,20
"Jerry?""
",1
"(""I",2
don't,86
Jerry's,2
"Jerry,""",6
growled,4
himself.,9
"""He's",1
hoarser,1
suits,1
"me,",84
"Jerry."")
",1
"""Yes,",33
Mr.,557
"matter?""
",2
"""A",24
despatch,2
sent,14
yonder.,1
T.,1
"Co.""
",1
know,167
"messenger,",6
"guard,""",1
"Lorry,",109
"into
",25
road-,1
assisted,10
swiftly,2
politely,1
"other
",20
immediately,11
scrambled,1
pulled,8
window.,5
"""He",29
may,108
close;,1
there's,4
"wrong.""
",4
hope,54
"ain't,",2
can't,17
'Nation,1
"that,""",5
"said
",14
gruff,3
soliloquy.,1
"""Hallo",1
"""Well!",10
And,88
hallo,1
"you!""",5
"Jerry,",27
hoarsely,3
"before.
",2
"""Come",4
footpace!,1
d'ye,2
you've,4
"holsters
",1
saddle,3
o',6
"yourn,",1
me,259
see,137
nigh,1
'em.,2
"For
",3
I'm,8
devil,6
quick,11
takes,4
form,10
Lead.,1
let's,1
look,98
"you.""
",31
figures,10
rider,5
slowly,30
"eddying
",1
stood.,3
"stooped,",3
casting,5
handed,11
folded,10
paper.,6
rider's,1
"blown,",1
covered,12
hoofs,1
hat,8
"man.
",7
"""Guard!""",1
tone,20
business,60
"confidence.
",1
watchful,5
stock,7
"raised
",2
left,87
"barrel,",1
eye,19
"horseman,
",1
answered,31
"curtly,",1
"""Sir.""
",1
"""There",17
apprehend.,1
belong,6
Tellson's,48
Bank.,5
You,88
"must
",6
Bank,10
London.,4
am,196
Paris,16
"A
",10
crown,2
drink.,2
"this?""
",3
"""If",37
"quick,",2
"sir.""
",14
opened,39
coach-lamp,2
"side,",9
read-,1
aloud:,1
"""'Wait",1
"Mam'selle.'
",1
It's,6
"long,",17
"see,",7
guard.,1
my,525
"was,",56
"RECALLED
",1
TO,2
"LIFE.""
",1
Jerry,38
started,12
saddle.,1
"""That's",14
Blazing,2
"answer,",13
"too,""
",1
"he,",15
"hoarsest.
",1
"""Take",5
message,6
will,233
received,20
"this,",31
well,69
wrote.,1
Make,1
Good,18
"night.""
",2
words,42
"not
",46
"fellow-passengers,",1
"expeditiously
",1
secreted,2
watches,2
purses,1
"boots,",3
"now
",8
pretence,3
asleep.,4
"definite
",1
escape,5
hazard,5
originating,1
kind,26
"action.
",1
heavier,6
wreaths,2
"closing
",2
began,38
descent.,1
soon,36
replaced,1
"arm-chest,",1
"its
",20
"contents,",1
supplementary,1
pistols,1
"he
",110
"belt,",1
smaller,1
chest,3
beneath,4
"seat,",9
"which
",29
smith's,2
"tools,",4
couple,1
"torches,",2
"tinder-box.
",1
For,23
furnished,4
completeness,1
"coach-lamps
",1
blown,1
stormed,1
occasionally,5
"happen,",1
"inside,",3
keep,40
flint,2
steel,2
"sparks
",1
"straw,",6
tolerable,2
safety,2
ease,7
"(if
",1
lucky),1
five,18
"minutes.
",1
"""Tom!""",1
softly,9
"roof.
",1
"""Hallo,",1
"""Did",9
hear,38
"message?""
",1
"did,",9
"""Nothing",10
"all,",28
"coincidence,",1
"too,""",6
"mused,",2
"""for",4
"same
",7
"myself.""
",1
alone,20
dismounted,1
"meanwhile,
",1
spent,2
wipe,2
mud,8
"face,
",2
shake,5
wet,6
"hat-brim,",1
capable,7
gallon.,1
After,27
standing,22
bridle,3
heavily-splashed,1
"arm,",15
until,91
wheels,7
"longer
",2
hearing,8
quite,51
still,73
turned,96
"""After",3
Temple,12
"Bar,",9
"lady,",13
won't,9
"trust
",1
fore-legs,1
till,15
"level,""",1
"hoarse
",1
glancing,13
mare.,1
"""'Recalled",1
life.',1
That's,12
"Blazing
",1
message.,1
Much,2
wouldn't,9
Jerry!,2
"say,
",1
You'd,2
bad,34
"way,",45
recalling,4
"come
",3
"fashion,",3
"Jerry!""
",1
"III
",3
